"","Date","^GSPC","AMZN","AAPL","GOOG","MSFT","INTC"
"1","2010-01-01",1073.869995,125.410004,18.224987,263.257751,22.330048,14.41676
"2","2010-02-01",1104.48999,118.400002,19.41683,261.697906,22.718327,15.256495
"3","2010-03-01",1169.430054,135.770004,22.29965,281.727631,23.318153,16.696495
"4","2010-04-01",1186.689941,137.100006,24.775391,261.151459,24.313295,17.108465
"5","2010-05-01",1089.410034,125.459999,24.375896,241.245926,20.539722,16.044811
"6","2010-06-01",1030.709961,109.260002,23.868223,221.037369,18.40122,14.6716
"7","2010-07-01",1101.599976,117.889999,24.411009,240.858444,20.640396,15.53907
"8","2010-08-01",1049.329956,124.830002,23.068285,223.555984,18.769091,13.328901
"9","2010-09-01",1141.199951,157.059998,26.925646,261.196167,19.689262,14.593144
"10","2010-10-01",1183.26001,165.229996,28.560642,304.867126,21.441914,15.239197
"11","2010-11-01",1180.550049,175.399994,29.52569,276.059509,20.308319,16.082861
"12","2010-12-01",1257.640015,180,30.608423,295.065887,22.576715,16.108791
"13","2011-01-01",1286.119995,169.639999,32.198803,298.240234,22.43111,16.438168
"14","2011-02-01",1327.219971,173.289993,33.516846,304.718109,21.500864,16.445831
"15","2011-03-01",1325.829956,180.130005,33.070869,291.484161,20.659649,15.588707
"16","2011-04-01",1363.609985,195.809998,33.22459,270.292023,21.090908,17.882984
"17","2011-05-01",1345.199951,196.690002,33.006325,262.80072,20.350445,17.388597
"18","2011-06-01",1320.640015,204.490005,31.852455,251.553879,21.294674,17.252802
"19","2011-07-01",1292.280029,222.520004,37.053482,299.89447,22.441309,17.385155
"20","2011-08-01",1218.890015,215.229996,36.517345,268.732147,21.786091,15.672335
"21","2011-09-01",1131.420044,216.229996,36.184277,255.855911,20.514225,16.77659
"22","2011-10-01",1253.300049,213.509995,38.41045,294.405182,21.948322,19.292295
"23","2011-11-01",1246.959961,192.289993,36.267776,297.758362,21.082911,19.583179
"24","2011-12-01",1257.599976,173.100006,38.431324,320.863098,21.557222,19.23366
"25","2012-01-01",1312.410034,194.440002,43.316364,288.180664,24.521755,20.954782
"26","2012-02-01",1365.680054,179.690002,51.473301,307.127441,26.356951,21.319628
"27","2012-03-01",1408.469971,202.509995,56.89259,318.548157,26.965113,22.481342
"28","2012-04-01",1397.910034,231.899994,55.415123,300.470734,26.764505,22.705194
"29","2012-05-01",1310.329956,212.910004,54.822044,288.553253,24.399,20.658533
"30","2012-06-01",1362.160034,228.350006,55.417011,288.160797,25.736992,21.460554
"31","2012-07-01",1379.319946,233.300003,57.956322,314.43988,24.794672,20.695545
"32","2012-08-01",1406.579956,248.270004,63.126057,340.331482,25.930504,19.994953
"33","2012-09-01",1440.670044,254.320007,65.255394,374.812195,25.204538,18.40736
"34","2012-10-01",1412.160034,232.889999,58.23391,337.951935,24.171288,17.570663
"35","2012-11-01",1416.180054,252.050003,57.251804,346.928558,22.545197,15.897264
"36","2012-12-01",1426.189941,250.869995,53.767834,351.404449,22.807299,16.922813
"37","2013-01-01",1498.109985,265.5,46.020473,375.403351,23.439175,17.267506
"38","2013-02-01",1514.680054,264.269989,44.596889,398.011322,23.738035,17.136194
"39","2013-03-01",1569.189941,266.48999,46.614876,394.528961,24.631943,18.116701
"40","2013-04-01",1597.569946,253.809998,46.627518,409.620819,28.497641,19.866995
"41","2013-05-01",1630.73999,269.200012,47.359402,432.795074,30.047356,20.140734
"42","2013-06-01",1606.280029,277.690002,43.771873,437.340515,29.945938,20.288591
"43","2013-07-01",1685.72998,301.220001,49.953552,441.006683,27.605057,19.543365
"44","2013-08-01",1632.969971,280.980011,53.782887,420.713654,28.957563,18.404593
"45","2013-09-01",1681.550049,312.640015,55.159863,435.124939,29.056845,19.379473
"46","2013-10-01",1756.540039,364.029999,60.476246,511.960205,30.916555,20.690041
"47","2013-11-01",1805.810059,393.619995,64.337143,526.37146,33.291393,20.157358
"48","2013-12-01",1848.359985,398.790009,67.658981,556.734009,32.910477,22.155352
"49","2014-01-01",1782.589966,358.690002,60.372318,586.669312,33.288746,20.943466
"50","2014-02-01",1859.449951,362.100006,63.464516,603.897217,33.702232,21.131224
"51","2014-03-01",1872.339966,336.369995,67.544098,555.445007,36.330292,22.237389
"52","2014-04-01",1883.949951,304.130005,74.257759,523.779968,35.807358,22.995581
"53","2014-05-01",1923.569946,312.549988,79.657608,556.828247,36.285973,23.538376
"54","2014-06-01",1960.22998,324.779999,85.17263,572.134094,37.220306,26.851595
"55","2014-07-01",1930.670044,312.98999,87.619743,568.474243,38.523479,29.44986
"56","2014-08-01",2003.369995,339.040009,93.943756,568.474243,40.549606,30.34491
"57","2014-09-01",1972.290039,322.440002,92.799133,574.202698,41.638149,30.459286
"58","2014-10-01",2018.050049,305.459991,99.476997,556.022705,42.168056,29.750732
"59","2014-11-01",2067.560059,338.640015,109.544456,538.867004,42.940472,32.584961
"60","2014-12-01",2058.899902,310.350006,102.110046,523.521423,41.982117,31.953339
