Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,5.450000,6.040000,4.790000,5.550000,5.550000,2506602300
2012-11-01,5.520000,5.760000,5.430000,5.730000,5.730000,651999800
2012-12-01,5.750000,5.830000,5.400000,5.670000,5.670000,642544500
2013-01-01,5.710000,5.970000,5.520000,5.630000,5.630000,992759000
2013-02-01,5.640000,5.950000,5.630000,5.800000,5.800000,647560100
2013-03-01,5.800000,6.220000,5.750000,6.210000,6.210000,655309700
2013-04-01,6.240000,7.350000,6.120000,7.050000,7.050000,1644335600
2013-05-01,7.070000,7.500000,7.050000,7.300000,7.300000,954927800
2013-06-01,7.300000,7.410000,6.830000,7.020000,7.020000,1667103400
2013-07-01,7.000000,7.210000,5.610000,5.960000,5.960000,1678836500
2013-08-01,6.050000,7.260000,6.000000,6.710000,6.710000,434640100
2013-09-01,6.780000,6.870000,6.020000,6.220000,6.220000,363970600
2013-10-01,6.250000,7.000000,5.920000,6.730000,6.730000,390030300
2013-11-01,6.730000,8.750000,6.730000,8.390000,8.390000,391683800
2013-12-01,8.300000,11.470000,7.810000,10.750000,10.750000,472127000
2014-01-01,10.470000,10.690000,8.160000,8.270000,8.270000,400506800
2014-02-01,8.190000,8.770000,7.420000,8.740000,8.740000,400228700
2014-03-01,8.530000,9.460000,8.400000,9.190000,9.190000,338896000
2014-04-01,9.240000,9.600000,7.380000,8.500000,8.500000,358598700
2014-05-01,8.970000,9.760000,8.390000,9.550000,9.550000,300004300
2014-06-01,9.520000,9.750000,8.190000,8.530000,8.530000,278599000
2014-07-01,8.550000,8.680000,7.070000,7.350000,7.350000,320559100
2014-08-01,7.380000,7.600000,5.360000,5.610000,5.610000,658050000
2014-09-01,5.650000,7.150000,5.500000,6.340000,6.340000,611653500
2014-10-01,6.390000,6.450000,5.710000,5.930000,5.930000,477807600
2014-11-01,5.920000,6.250000,4.640000,5.120000,5.120000,571695600
2014-12-01,5.090000,5.090000,3.790000,4.150000,4.150000,494324000
2015-01-01,4.180000,4.550000,4.010000,4.300000,4.300000,305347000
2015-02-01,4.320000,5.280000,4.210000,5.120000,5.120000,393696400
2015-03-01,5.140000,5.450000,4.650000,4.740000,4.740000,276067300
2015-04-01,4.750000,5.390000,4.650000,5.130000,5.130000,239915900
2015-05-01,5.150000,5.290000,4.540000,4.650000,4.650000,351667600
2015-06-01,4.650000,4.810000,4.410000,4.560000,4.560000,276817700
2015-07-01,4.560000,4.600000,3.100000,3.370000,3.370000,597319100
2015-08-01,3.400000,5.290000,3.140000,5.060000,5.060000,887104200
2015-09-01,4.970000,5.220000,3.710000,3.840000,3.840000,554019100
2015-10-01,3.910000,5.120000,3.860000,4.730000,4.730000,413092100
2015-11-01,4.830000,4.900000,3.620000,3.650000,3.650000,423624900
2015-12-01,3.660000,3.950000,3.500000,3.620000,3.620000,324150100
2016-01-01,3.520000,3.670000,2.180000,3.020000,3.020000,506747100
2016-02-01,3.040000,3.460000,2.450000,3.440000,3.440000,381249600
2016-03-01,3.430000,4.190000,3.120000,3.480000,3.480000,452749600
2016-04-01,3.410000,3.900000,3.300000,3.430000,3.430000,375769400
2016-05-01,3.460000,3.850000,3.370000,3.800000,3.800000,289365200
2016-06-01,3.800000,4.560000,3.610000,4.530000,4.530000,346090700
2016-07-01,4.520000,6.350000,4.360000,6.140000,6.140000,580310100
2016-08-01,6.140000,6.350000,5.850000,6.180000,6.180000,349164900
2016-09-01,6.180000,7.030000,6.160000,6.630000,6.630000,455659000
2016-10-01,6.610000,7.160000,6.160000,6.160000,6.160000,416299100
2016-11-01,6.150000,8.110000,5.830000,7.840000,7.840000,431853600
2016-12-01,7.850000,8.980000,7.840000,8.420000,8.420000,385856700
2017-01-01,8.510000,9.650000,8.320000,9.230000,9.230000,394986200
2017-02-01,9.290000,9.440000,8.130000,8.810000,8.810000,328333700
2017-03-01,8.850000,9.000000,8.130000,8.680000,8.680000,285067200
2017-04-01,8.680000,9.090000,8.210000,9.030000,9.030000,192618100
2017-05-01,9.050000,9.220000,7.320000,8.490000,8.490000,445431700
2017-06-01,8.550000,9.020000,7.750000,8.210000,8.210000,354811100
2017-07-01,8.200000,8.900000,7.870000,7.980000,7.980000,235161600
2017-08-01,8.350000,8.920000,7.970000,8.250000,8.250000,226371400
2017-09-01,8.300000,8.550000,7.500000,7.780000,7.780000,297855100
2017-10-01,7.780000,8.000000,6.050000,6.540000,6.540000,386445600
