Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,29.226667,30.219999,27.566668,28.613333,28.613333,9364700
2012-11-01,28.799999,31.040001,26.866667,29.673334,29.673334,11387300
2012-12-01,30.026667,30.280001,27.066668,28.180000,28.180000,9114500
2013-01-01,29.086666,31.846666,27.466667,30.719999,30.719999,12310700
2013-02-01,30.966667,31.493334,27.333334,29.393333,29.393333,9917300
2013-03-01,29.299999,30.393333,28.400000,28.820000,28.820000,11758300
2013-04-01,28.799999,32.560001,27.953333,32.419998,32.419998,15044200
2013-05-01,32.266666,33.173332,30.879999,32.333332,32.333332,13776500
2013-06-01,32.526669,32.993332,30.393333,32.253334,32.253334,8790000
2013-07-01,32.406666,34.893333,32.240002,34.279999,34.279999,10487200
2013-08-01,34.586666,37.326668,33.726665,36.000000,36.000000,9439400
2013-09-01,36.386665,37.733334,34.746666,35.886665,35.886665,8964400
2013-10-01,35.893333,38.180000,33.900002,36.680000,36.680000,12903400
2013-11-01,36.790001,39.320000,36.450001,38.959999,38.959999,8031800
2013-12-01,38.830002,39.480000,35.450001,36.590000,36.590000,12178500
2014-01-01,36.450001,36.740002,31.850000,32.590000,32.590000,19599700
2014-02-01,32.610001,36.689999,30.660000,36.450001,36.450001,12572900
2014-03-01,36.160000,37.720001,35.160000,35.980000,35.980000,10988300
2014-04-01,36.130001,37.349998,34.000000,35.610001,35.610001,8696900
2014-05-01,35.450001,37.169998,31.230000,31.860001,31.860001,12314500
2014-06-01,31.930000,34.330002,31.350000,34.299999,34.299999,11773300
2014-07-01,34.279999,35.639999,30.200001,31.850000,31.850000,13788800
2014-08-01,31.750000,35.369999,31.190001,33.990002,33.990002,11629000
2014-09-01,34.130001,34.810001,32.180000,32.230000,32.230000,9413900
2014-10-01,32.099998,32.980000,28.020000,31.350000,31.350000,15370900
2014-11-01,31.430000,34.880001,31.129999,34.099998,34.099998,8280700
2014-12-01,33.950001,34.610001,30.860001,31.830000,31.830000,11058600
2015-01-01,32.099998,35.820000,29.330000,34.340000,34.340000,16982400
2015-02-01,34.400002,38.160000,33.590000,36.509998,36.509998,12505300
2015-03-01,36.419998,38.480000,34.950001,38.000000,38.000000,11981000
2015-04-01,37.810001,43.000000,36.930000,39.020000,39.020000,10986500
2015-05-01,38.840000,39.919998,37.389999,37.779999,37.779999,7702600
2015-06-01,37.860001,43.470001,37.619999,42.779999,42.779999,11721300
2015-07-01,43.070000,44.730000,40.360001,41.680000,41.680000,12861500
2015-08-01,41.540001,41.680000,37.290001,40.860001,40.860001,12953900
2015-09-01,39.950001,41.950001,35.680000,36.619999,36.619999,12859400
2015-10-01,37.369999,38.759998,31.340000,34.849998,34.849998,18656200
2015-11-01,34.820000,36.380001,30.139999,31.900000,31.900000,15288400
2015-12-01,31.940001,33.240002,29.980000,30.219999,30.219999,11880400
2016-01-01,29.780001,32.669998,27.799999,32.290001,32.290001,17329200
2016-02-01,32.090000,35.950001,29.549999,35.200001,35.200001,15599400
2016-03-01,34.200001,38.480000,33.570000,37.040001,37.040001,11573900
2016-04-01,36.869999,38.060001,33.790001,35.009998,35.009998,10800700
2016-05-01,35.060001,35.540001,31.680000,34.310001,34.310001,11871200
2016-06-01,34.139999,35.500000,32.139999,34.180000,34.180000,10403300
2016-07-01,34.320000,36.970001,33.040001,35.020000,35.020000,7545200
2016-08-01,34.320000,36.910000,32.689999,35.090000,35.090000,11937600
2016-09-01,34.980000,35.439999,33.580002,34.560001,34.560001,6937300
2016-10-01,34.330002,36.340000,32.299999,33.400002,33.400002,8222200
2016-11-01,37.000000,40.549999,34.599998,37.049999,37.049999,13662100
2016-12-01,37.299999,40.250000,35.450001,35.750000,35.750000,10153700
2017-01-01,34.750000,37.299999,33.500000,35.200001,35.200001,11035200
2017-02-01,35.200001,38.650002,33.529999,37.349998,37.349998,8790600
2017-03-01,37.849998,38.950001,36.419998,38.549999,38.549999,10012800
2017-04-01,38.599998,39.000000,35.549999,38.049999,38.049999,11632000
2017-05-01,38.200001,39.349998,36.099998,39.250000,39.250000,9963900
2017-06-01,39.299999,40.750000,37.299999,39.950001,39.950001,10193000
2017-07-01,40.049999,41.950001,38.200001,41.000000,41.000000,7627400
2017-08-01,42.150002,43.799999,39.549999,42.400002,42.400002,13198200
2017-09-01,42.450001,43.450001,41.049999,43.299999,43.299999,8820400
2017-10-01,43.250000,44.400002,38.450001,39.000000,39.000000,10467700
