Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,8.570000,9.340000,7.630000,7.860000,4.211849,1489700
2012-11-01,7.910000,8.720000,6.560000,8.540000,4.576232,2278500
2012-12-01,8.740000,8.840000,6.840000,7.540000,4.040373,2237400
2013-01-01,7.550000,8.530000,7.530000,8.440000,5.137972,2125400
2013-02-01,8.600000,8.920000,8.120000,8.510000,5.180588,1216100
2013-03-01,8.530000,8.890000,8.320000,8.380000,5.101448,873700
2013-04-01,8.360000,8.360000,7.440000,7.910000,4.815327,1296400
2013-05-01,7.860000,13.090000,7.620000,12.930000,7.871326,4676500
2013-06-01,12.930000,14.330000,12.700000,13.650000,8.309635,4676500
2013-07-01,13.620000,15.210000,13.350000,13.970000,8.504439,2736100
2013-08-01,14.170000,14.300000,12.100000,12.150000,7.423172,2782400
2013-09-01,12.110000,13.770000,11.950000,13.720000,8.382380,3050200
2013-10-01,13.760000,15.500000,13.490000,14.770000,9.023888,3281100
2013-11-01,14.740000,16.170000,14.170000,14.740000,9.037838,2938900
2013-12-01,14.700000,14.820000,12.850000,13.450000,8.246875,2521000
2014-01-01,13.460000,15.040000,12.320000,12.380000,7.618426,3476900
2014-02-01,12.390000,14.110000,11.530000,13.590000,8.363037,2601400
2014-03-01,13.500000,14.780000,13.120000,14.010000,8.621498,2889100
2014-04-01,14.080000,14.710000,12.290000,12.500000,7.692271,2657100
2014-05-01,12.600000,13.960000,11.560000,13.520000,8.349612,2318400
2014-06-01,13.610000,14.300000,13.040000,13.890000,8.578115,1816100
2014-07-01,13.840000,14.360000,12.960000,12.980000,8.016120,1356900
2014-08-01,13.030000,13.910000,12.350000,12.450000,7.730549,1645500
2014-09-01,12.480000,12.730000,11.510000,11.550000,7.171714,1715000
2014-10-01,11.500000,13.620000,11.250000,13.380000,8.308010,2378000
2014-11-01,13.460000,14.500000,12.850000,14.200000,8.874799,1282800
2014-12-01,14.200000,14.900000,13.800000,14.620000,9.137297,2468900
2015-01-01,14.700000,15.450000,13.710000,13.760000,8.644210,1870600
2015-02-01,13.830000,16.650000,13.450000,16.440001,10.327823,7881400
2015-03-01,11.780000,12.950000,11.710000,12.450000,7.821252,6544400
2015-04-01,12.400000,12.480000,11.620000,11.830000,10.744374,3241500
2015-05-01,11.840000,12.200000,10.610000,10.620000,9.645413,3952200
2015-06-01,10.650000,11.300000,10.420000,10.470000,9.509179,3498500
2015-07-01,10.550000,10.790000,9.770000,10.190000,9.321202,2959600
2015-08-01,10.200000,11.480000,9.630000,10.740000,9.824308,3252800
2015-09-01,10.580000,10.980000,9.500000,9.680000,8.854684,3006800
2015-10-01,9.670000,9.750000,8.450000,8.860000,8.167100,3741900
2015-11-01,8.860000,9.150000,7.000000,7.730000,7.125473,4172600
2015-12-01,7.730000,7.860000,6.510000,6.730000,6.203678,4663200
2016-01-01,6.630000,7.640000,6.070000,7.360000,6.858745,5269600
2016-02-01,7.270000,7.500000,6.500000,7.410000,6.905339,2880600
2016-03-01,7.500000,8.290000,6.420000,7.330000,6.830789,5335200
2016-04-01,7.300000,7.530000,6.460000,7.240000,6.815904,3001000
2016-05-01,7.280000,7.470000,5.610000,6.950000,6.542892,4115100
2016-06-01,6.920000,7.800000,6.860000,7.720000,7.267787,3821100
2016-07-01,7.670000,8.740000,7.320000,8.600000,8.179821,2309900
2016-08-01,8.560000,9.230000,7.980000,8.040000,7.647182,2644900
2016-09-01,8.010000,8.180000,6.250000,6.350000,6.039752,2842200
2016-10-01,6.410000,6.480000,5.910000,6.020000,5.782195,2214300
2016-11-01,6.000000,6.930000,4.980000,4.980000,4.783277,7182300
2016-12-01,5.020000,6.100000,4.920000,5.480000,5.263526,10705800
2017-01-01,5.500000,5.620000,3.500000,3.660000,3.564021,14210800
2017-02-01,3.680000,3.920000,3.410000,3.600000,3.505594,10681800
2017-03-01,3.660000,3.750000,2.570000,3.010000,2.931067,14282000
2017-04-01,3.010000,3.010000,2.410000,2.470000,2.470000,11319300
2017-05-01,2.490000,2.490000,1.000000,1.460000,1.460000,33496600
2017-06-01,1.490000,1.820000,1.370000,1.690000,1.690000,21392700
2017-07-01,1.720000,1.720000,1.110000,1.390000,1.390000,24893400
2017-08-01,1.380000,1.490000,1.090000,1.250000,1.250000,17635000
2017-09-01,1.260000,1.470000,1.150000,1.300000,1.300000,9584700
2017-10-01,1.300000,1.330000,1.070000,1.070000,1.070000,7304300
