"","Date","RNWK","WTBA","PCH","CSS","ESCA","MLR","KVHI","BH","BMTC","HVT","BANR","CTS","CSGS","FNHC","FRO","DNR","NATH","CFNB","WTW","PGNX","MBTF","ADTN","UNT","MTG","CCBG","MSTR","STRS","STBA","INDB","CAC","HCKT","CNXN","DORM","VIVO","OFIX","AMWD","LCUT","GEO","ANH","UMPQ","RDN","AIT","MDC","LWAY"
"1","2002-06-01",10.942296,8.51479,8.783695,15.246078,7.293035,2.885231,7.53,269.844116,12.804447,14.983764,146.523666,10.006522,16.858341,3.134084,23.657494,2.425938,2.420144,7.867131,37.839512,12.29,9.070594,6.734465,17.35,64.296326,15.683652,5,9.073327,15.735025,15.113102,9.248549,3.321486,3.496336,2.068993,1.483141,35.150002,25.232756,5.602947,1.416273,2.205198,11.540541,47.234035,5.493293,18.314312,1.507362
"2","2002-07-01",11.022951,8.744328,8.228581,14.279773,5.504056,2.629969,7.12,224.151657,11.94658,9.976536,117.853943,6.416556,10.190752,2.328652,18.945831,2.197254,2.40789,7.025984,38.022442,10.1,9.121709,6.649354,15.7,59.744373,14.927379,6.75,8.436941,14.942114,13.770699,8.053045,1.542431,3.965356,2.356021,1.210157,30.860001,20.629671,5.155026,1.275617,1.912014,9.64552,44.284927,4.465061,14.651445,1.319559
"3","2002-08-01",12.313443,8.312427,8.009117,15.911743,6.530883,3.233315,6.45,234.497116,12.532948,9.786867,120.105606,5.333242,10.463799,2.708415,15.573277,2.246763,2.254717,6.849354,41.332523,8,9.030167,6.167055,17.5,57.098549,15.445284,11.29,8.340519,14.524606,13.611423,8.29745,1.796582,5.07395,2.293832,1.438304,27.950001,22.692188,4.919278,1.309568,2.253271,9.920931,42.02232,4.465061,14.158372,1.519717
"4","2002-09-01",9.705574,8.146729,7.447066,15.486573,6.329984,2.235474,6.23,189.666779,12.670957,9.529367,119.690819,3.833267,9.600625,3.125808,9.894488,2.397647,1.929988,6.628566,37.769829,5.02,9.089014,5.532265,19.15,38.736877,15.151956,8.13,8.677997,14.806871,13.193324,8.716516,1.270753,3.462225,2.071385,1.287835,26.459999,22.849802,3.958995,1.100038,1.990389,10.283967,31.594265,4.856843,12.4767,1.359097
"5","2002-10-01",9.436722,8.152251,6.787527,16.019117,6.537261,2.707321,7.79,189.494354,12.565041,9.788567,109.447311,5.028985,11.335781,3.394334,14.878925,2.746567,2.242463,6.140712,41.245407,7.15,8.950301,9.004108,19.299999,39.80896,15.298255,12.27,7.675206,15.678137,14.552464,8.347738,1.577486,4.946036,2.116831,1.325453,25.4,23.845427,4.109738,1.14466,2.102318,9.93819,34.119083,4.985787,13.268419,1.482651
"6","2002-11-01",10.377706,8.172359,6.997851,14.988388,6.486238,2.637704,8.65,173.286469,12.185948,9.910542,118.642113,6.688547,12.419156,5.294602,17.40834,2.435369,2.211828,6.406626,39.416153,7.5,8.917274,11.773789,17.860001,44.277508,17.721066,18.24,7.95483,16.087599,17.195932,8.663447,2.401285,5.960825,2.107264,1.544518,28.35,26.887026,3.958995,1.186372,2.17019,11.048709,39.178421,5.15771,12.663654,1.732231
"7","2002-12-01",10.243279,8.479588,6.242578,14.215352,6.377816,2.637704,8.6,172.424347,11.871574,10.645428,111.167625,6.495772,12.022797,5.764767,21.946421,2.664052,2.236336,6.303216,40.043327,6.66,8.884247,11.667396,18.549999,39.20557,18.212439,15.1,8.870841,14.865146,15.220009,8.20569,2.190954,4.323517,2.418211,1.55782,28.139999,21.435604,3.831971,1.077726,2.13286,11.450257,35.957535,5.500601,13.571746,1.739644
"8","2003-01-01",9.571148,8.406975,5.351154,13.979145,5.146898,2.707321,11,166.389496,11.343303,9.496641,104.821709,6.140927,9.160227,4.438995,26.3109,2.593325,2.211828,5.555878,36.19318,7.7,8.711734,11.922738,17.860001,40.94276,17.538593,20.780001,10.423239,15.230605,15.29526,7.832706,2.103315,5.32978,2.22925,1.714055,29.190001,15.710081,4.121176,0.843944,2.239161,12.299296,35.715561,4.793379,14.011608,1.70752
"9","2003-02-01",11.157378,8.923861,5.395596,14.107986,4.649429,2.622234,10,165.699799,11.799588,8.309562,94.012871,5.728729,8.499634,4.52433,26.881266,2.706488,2.230209,5.452075,36.454494,5.4,8.912004,11.41561,21.059999,37.458889,16.441843,19.299999,8.64907,15.290523,14.268864,7.64,2.234772,6.327515,2.406251,1.773123,27.92,17.8575,5.061093,0.883716,2.203898,11.639057,33.750725,4.849396,13.316344,1.655627
"10","2003-03-01",11.103607,9.714581,5.121735,13.906137,4.359238,2.475265,12.02,157.595856,11.74385,8.274568,94.488037,5.13146,7.63646,4.742217,26.658089,2.553246,2.181193,5.041811,40.113018,4.41,8.81187,12.73484,20.290001,37.300709,18.175262,24.110001,7.723417,15.32048,13.423599,8.616414,1.928039,4.477015,2.332102,1.826643,27.200001,19.941631,5.131646,0.95065,2.302634,11.374964,32.327164,4.944077,13.661686,1.630916
"11","2003-04-01",13.792132,10.646502,6.286844,15.608319,4.110503,2.421118,15.1,199.494965,11.720901,10.814666,98.722061,7.05951,9.248306,5.562493,26.854912,2.499023,2.083162,4.902277,40.923115,9.88,11.672689,14.355515,19.6,43.180302,18.036442,27.610001,7.790912,16.666388,13.689028,8.684933,1.717708,6.003464,2.537806,2.073297,28.200001,21.734398,5.546407,1.067056,2.46484,12.383216,38.447815,5.470734,16.409674,1.692693
"12","2003-05-01",21.400658,10.063844,6.555716,16.53989,4.678129,2.312825,21.83,243.635605,12.259481,11.892285,125.424614,8.462955,11.626443,5.173717,36.05521,2.864445,2.119924,4.287011,37.090382,14,11.706428,17.128735,22,51.311039,19.417376,34.150002,8.003041,17.138254,14.600282,8.578155,1.875456,6.353097,2.427778,2.190911,32.900002,21.253929,6.018096,1.429855,2.734886,12.509254,38.999836,5.666015,19.495487,1.878025
"13","2003-06-01",18.174427,10.20069,6.83803,16.626154,5.11501,2.637704,24.6,262.947144,12.421926,13.526628,121.915833,8.834954,12.498425,7.162585,36.22665,3.166214,2.132177,4.708766,39.625214,15.06,11.80089,18.306107,20.91,44.325233,21.111958,36.619999,9.391521,16.599852,15.228034,9.515903,1.796582,5.875549,2.547373,2.233776,32.740002,21.290192,6.27663,1.329939,2.803985,11.708905,35.513702,6.332333,18.965694,1.976868
"14","2003-07-01",15.459017,10.46298,7.103587,16.474474,5.188354,2.862025,20.09,258.808929,13.459569,12.792324,127.108101,9.794514,13.282328,7.554526,41.902317,3.053051,2.432398,5.231572,39.111279,14.92,10.472215,17.320236,19.57,52.745506,21.431282,43.619999,10.172541,18.146864,18.151562,9.67162,2.857003,7.964823,3.133389,2.521928,33.099998,22.868523,6.818142,1.687888,2.796713,11.9049,45.358719,6.707471,19.547079,2.223977
"15","2003-08-01",16.991476,10.474148,7.831204,15.747182,5.542323,2.900701,27.76,249.153183,13.962135,13.418414,124.369423,10.922362,13.696302,6.606551,44.992123,3.100202,2.757126,5.63515,37.761108,16.959999,10.29541,21.124216,21.559999,53.57233,22.90321,40.34,9.786851,17.042051,18.029371,9.877801,3.067335,8.95403,3.226673,2.549429,34.029999,23.068375,7.449908,1.750942,2.93834,11.803845,46.114506,6.797504,20.069536,3.583073
