,Date,F,FB,BTC-USD,AAPL,MCD
1,2/1/2015,13.118747,78.970001,254.059998,119.293083,87.624916
2,3/1/2015,12.958172,82.220001,244.149994,116.006676,87.081619
3,4/1/2015,12.6852,78.769997,235.770004,116.677956,86.286209
4,5/1/2015,12.294225,79.190002,229.839996,121.460663,85.73214
5,6/1/2015,12.164557,85.769997,264.119995,117.427444,85.701927
6,7/1/2015,12.018682,94.010002,283.730011,113.560951,90.019913
7,8/1/2015,11.355524,89.730003,229.470001,105.715614,87.739204
8,9/1/2015,11.109909,89.900002,235.929993,103.730179,89.6035
9,10/1/2015,12.125112,101.970001,311.23999,112.382195,102.080513
10,11/1/2015,11.851521,104.239998,377.970001,111.253654,103.817459
11,12/1/2015,11.653031,104.660004,429.950012,99.414101,108.279266
12,1/1/2016,9.874888,112.209999,369.839996,91.93396,113.448509
13,2/1/2016,10.474458,106.919998,436.209991,91.320068,107.408569
14,3/1/2016,11.303371,114.099998,415.660004,103.495514,116.062576
15,4/1/2016,11.353608,117.580002,448.529999,89.014297,116.810577
16,5/1/2016,11.419576,118.809998,528.919983,94.825783,112.719597
17,6/1/2016,10.640776,114.279999,670.02002,91.333252,111.13121
18,7/1/2016,10.716963,123.940002,621.869995,99.558975,109.445671
19,8/1/2016,10.783126,126.120003,573.880005,101.364616,107.594452
20,9/1/2016,10.329548,128.270004,608.140015,108.589523,108.149376
21,10/1/2016,10.047132,130.990005,698.669983,109.060188,105.533752
22,11/1/2016,10.362928,118.419998,742.48999,106.159332,111.814964
23,12/1/2016,10.510226,115.050003,963.380005,111.821404,114.999207
24,1/1/2017,10.709515,130.320007,965.48999,117.160492,115.802284
25,2/1/2017,10.987512,135.539993,1189.27002,132.260529,120.601791
26,3/1/2017,10.207074,142.050003,1079.109985,139.301605,123.354866
27,4/1/2017,10.058003,150.25,1351.910034,139.291885,133.176819
28,5/1/2017,9.882505,151.460007,2303.340088,148.125519,143.607864
29,6/1/2017,9.944715,150.979996,2480.610107,140.227097,145.768295
30,7/1/2017,9.971377,169.25,2883.27002,144.813034,148.578369
31,8/1/2017,9.928409,171.970001,4735.109863,159.680908,153.204056
32,9/1/2017,10.774529,170.869995,4360.620117,150.650375,150.943451
33,10/1/2017,11.044569,180.059998,6451.240234,165.234512,160.798935
34,11/1/2017,11.409536,177.179993,9946.759766,167.981247,165.673676
35,12/1/2017,11.382197,176.460007,13850.40039,166.014908,166.806686
36,1/1/2018,9.997014,186.889999,10226.86035,164.249084,165.856949
37,2/1/2018,9.795061,178.320007,10334.44043,174.735992,152.870605
38,3/1/2018,10.228961,159.789993,6943.77002,165.263504,152.511353
39,4/1/2018,10.376671,172,9248.450195,162.781296,163.297745
40,5/1/2018,10.805923,191.779999,7502.149902,184.067184,156.051544
41,6/1/2018,10.356846,194.320007,6385.379883,183.036682,152.81369
42,7/1/2018,9.3932,172.580002,7735.299805,188.158646,154.618607
43,8/1/2018,8.993961,175.729996,7026.959961,225.080429,159.221664
44,9/1/2018,8.775755,164.460007,6623.709961,223.994431,165.212799
45,10/1/2018,9.060373,151.789993,6342.609863,217.167618,174.703476
46,11/1/2018,9.087927,140.610001,4009.669922,177.199097,186.169312
47,12/1/2018,7.388166,131.089996,3747.389893,157.066376,176.44664
48,1/1/2019,8.498805,166.690002,3434.129883,165.729218,177.648972
49,2/1/2019,8.617391,161.449997,3823.370117,172.410553,182.676956
50,3/1/2019,8.627215,166.690002,4112.689941,189.949997,189.899994
