"","Date","F","FB","GOOGL","AAPL","MCD"
"1","2015-02-01",13.118747,78.970001,562.630005,119.293083,87.624916
"2","2015-03-01",12.958172,82.220001,554.700012,116.006676,87.081619
"3","2015-04-01",12.6852,78.769997,548.77002,116.677956,86.286209
"4","2015-05-01",12.294225,79.190002,545.320007,121.460663,85.73214
"5","2015-06-01",12.164557,85.769997,540.039978,117.427444,85.701927
"6","2015-07-01",12.018682,94.010002,657.5,113.560951,90.019913
"7","2015-08-01",11.355524,89.730003,647.820007,105.715614,87.739204
"8","2015-09-01",11.109909,89.900002,638.369995,103.730179,89.6035
"9","2015-10-01",12.125112,101.970001,737.390015,112.382195,102.080513
"10","2015-11-01",11.851521,104.239998,762.849976,111.253654,103.817459
"11","2015-12-01",11.653031,104.660004,778.01001,99.414101,108.279266
"12","2016-01-01",9.874888,112.209999,761.349976,91.93396,113.448509
"13","2016-02-01",10.474458,106.919998,717.219971,91.320068,107.408569
"14","2016-03-01",11.303371,114.099998,762.900024,103.495514,116.062576
"15","2016-04-01",11.353608,117.580002,707.880005,89.014297,116.810577
"16","2016-05-01",11.419576,118.809998,748.849976,94.825783,112.719597
"17","2016-06-01",10.640776,114.279999,703.530029,91.333252,111.13121
"18","2016-07-01",10.716963,123.940002,791.340027,99.558975,109.445671
"19","2016-08-01",10.783126,126.120003,789.849976,101.364616,107.594452
"20","2016-09-01",10.329548,128.270004,804.059998,108.589523,108.149376
"21","2016-10-01",10.047132,130.990005,809.900024,109.060188,105.533752
"22","2016-11-01",10.362928,118.419998,775.880005,106.159332,111.814964
"23","2016-12-01",10.510226,115.050003,809.450012,111.821404,114.999207
"24","2017-01-01",10.709515,130.320007,820.190002,117.160492,115.802284
"25","2017-02-01",10.987512,135.539993,844.929993,132.260529,120.601791
"26","2017-03-01",10.207074,142.050003,847.799988,139.301605,123.354866
"27","2017-04-01",10.058003,150.25,924.52002,139.291885,133.176819
"28","2017-05-01",9.882505,151.460007,987.090027,148.125519,143.607864
"29","2017-06-01",9.944715,150.979996,929.679993,140.227097,145.768295
"30","2017-07-01",9.971377,169.25,945.5,144.813034,148.578369
"31","2017-08-01",9.928409,171.970001,944.27002,159.680908,153.204056
"32","2017-09-01",10.774529,170.869995,973.719971,150.650375,150.943451
"33","2017-10-01",11.044569,180.059998,1033.040039,165.234512,160.798935
"34","2017-11-01",11.409536,177.179993,1036.170044,167.981247,165.673676
"35","2017-12-01",11.382197,176.460007,1053.400024,166.014908,166.806686
"36","2018-01-01",9.997014,186.889999,1182.219971,164.249084,165.856949
"37","2018-02-01",9.795061,178.320007,1103.920044,174.735992,152.870605
"38","2018-03-01",10.228961,159.789993,1037.140015,165.263504,152.511353
"39","2018-04-01",10.376671,172,1018.580017,162.781296,163.297745
"40","2018-05-01",10.805923,191.779999,1100,184.067184,156.051544
"41","2018-06-01",10.356846,194.320007,1129.189941,183.036682,152.81369
"42","2018-07-01",9.3932,172.580002,1227.219971,188.158646,154.618607
"43","2018-08-01",8.993961,175.729996,1231.800049,225.080429,159.221664
"44","2018-09-01",8.775755,164.460007,1207.079956,223.994431,165.212799
"45","2018-10-01",9.060373,151.789993,1090.579956,217.167618,174.703476
"46","2018-11-01",9.087927,140.610001,1109.650024,177.199097,186.169312
"47","2018-12-01",7.388166,131.089996,1044.959961,157.066376,176.44664
"48","2019-01-01",8.498805,166.690002,1125.890015,165.729218,177.648972
"49","2019-02-01",8.617391,161.449997,1126.550049,172.410553,182.676956
"50","2019-03-01",8.627215,166.690002,1176.890015,189.949997,189.899994
