"","Date","^GSPC","KL","RGLD","AU","SSRM","SA","GOOG","AMZN","AAPL","MSFT","INTC","SPG","CCI","PLD","PSA","EQR","EC","XOM","CVX","PTR","BP","TOT","JNJ","UNH","PFE","MRK","NVS","ABT"
"1","2011-01-01",1286.119995,13.50405,41.702778,40.998062,23.059999,28.16,298.240234,169.639999,32.3228,22.514141,16.538839,71.349159,34.789341,25.571955,82.571037,37.429897,28.83779,62.157658,69.880508,109.19062,30.043728,37.176758,46.76136,36.054077,13.507136,24.923792,36.136154,16.398638
"2","2011-02-01",1327.219971,14.375278,44.690887,46.522896,27.139999,33.349998,304.718109,173.289993,33.645931,21.580452,16.546549,77.390457,34.772846,27.728992,85.048615,38.065365,28.244034,65.894203,76.373123,106.885567,30.676619,38.777184,48.067898,37.397873,14.263302,24.472954,36.40139,17.807577
"3","2011-03-01",1325.829956,13.395145,47.194736,45.675114,31.379999,31.82,291.484161,180.130005,33.198215,20.736124,15.684176,75.972977,35.102837,27.646265,84.033333,38.963287,28.115829,65.157181,79.721359,119.367188,28.189205,38.568436,46.773746,39.699005,15.214851,24.803572,36.666061,18.159283
"4","2011-04-01",1363.609985,13.939664,55.038605,48.67646,34.740002,34.07,270.292023,195.809998,33.352528,21.16898,17.992504,81.205177,35.358585,27.976755,89.530991,41.523048,29.600231,68.138931,81.16761,114.137756,29.466465,40.63065,51.881374,43.362988,15.70928,27.328316,39.917774,19.266239
"5","2011-05-01",1345.199951,14.474282,55.977276,43.883293,29.469999,29.75,262.80072,196.690002,33.133434,20.425776,17.495092,83.700745,34.162365,28.430225,90.31707,42.975719,31.07592,64.646034,77.807884,112.993103,29.530327,36.430321,53.12077,43.116341,16.068859,27.936449,43.527031,19.730797
"6","2011-06-01",1320.640015,15.0485,52.863419,40.18816,26.690001,28.209999,251.553879,204.490005,31.975109,21.373499,17.358463,83.006897,33.650875,27.764591,87.012428,41.70377,30.078104,63.384804,76.862442,116.912758,28.551601,37.631065,52.968353,45.432907,15.581492,26.826603,41.226551,19.870514
"7","2011-07-01",1292.280029,16.246441,57.964817,40.044933,27.4,27.65,299.89447,222.520004,37.196175,22.524378,17.491629,86.063515,35.80407,27.601906,92.081116,43.215641,28.875252,62.14642,77.744377,113.870422,29.292942,35.178276,51.590801,43.859612,14.560374,26.225924,41.28727,19.37961
"8","2011-08-01",1218.890015,19.790758,69.340744,42.832989,28.370001,29.27,268.732147,215.229996,36.657967,21.866735,15.768313,83.913902,35.828823,21.094585,95.236969,42.768257,30.263409,57.652328,73.872833,102.878098,25.392811,31.905735,52.395058,41.994934,14.35615,25.434454,39.438782,20.208351
"9","2011-09-01",1131.420044,16.820658,57.928638,39.598019,18.35,22.48,255.855911,216.229996,36.323627,20.59016,16.879333,79.13237,33.551872,18.786032,85.707878,36.260044,27.889132,56.943249,69.756012,96.46521,23.47868,28.542099,51.166725,40.75771,13.521937,25.127092,37.624035,19.681107
"10","2011-10-01",1253.300049,18.444313,64.83226,43.284,19.59,23.75,294.405182,213.509995,38.558365,22.029568,19.410448,92.414627,34.121109,23.300163,100.120132,41.258018,29.4466,61.223984,79.143211,105.922058,28.757643,34.618137,51.729076,42.556873,14.730347,26.828823,38.096268,20.731745
"11","2011-11-01",1246.959961,17.820595,73.771812,45.916855,14.71,22.790001,297.758362,192.289993,36.407448,21.160952,19.703112,89.4646,34.913094,21.781263,102.331215,38.804207,29.597761,63.066437,77.463158,106.853706,28.347567,34.247459,51.994205,43.248566,15.349848,27.800888,36.510895,21.399683
"12","2011-12-01",1257.599976,15.266308,61.073463,40.742004,13.82,16.110001,320.863098,173.100006,38.579315,21.63702,19.351454,93.473183,36.959034,22.384127,104.317337,40.097904,31.210146,66.849365,80.793983,101.590691,28.096552,33.830452,53.17403,44.942326,16.717196,29.317295,38.568512,22.058737
"13","2012-01-01",1312.410034,17.652287,68.944283,43.957218,17.25,20.17,288.180664,194.440002,43.483173,24.612526,21.083113,98.653419,39.994957,25.087343,108.523003,42.30851,35.801937,66.044891,78.303352,118.907944,30.180458,35.591011,53.441616,46.081917,16.531797,30.117786,36.67281,21.24276
"14","2012-02-01",1365.680054,16.454346,63.039043,40.742004,17.15,23.66,307.127441,179.690002,51.67152,26.454514,21.450193,98.377487,42.742134,26.630085,104.77948,40.418655,40.793316,68.221672,82.859413,122.773468,31.00219,37.673927,52.768623,49.605465,16.323215,30.039091,36.774006,22.610945
"15","2012-03-01",1408.469971,14.276276,59.199524,35.434505,15.04,20.09,318.548157,202.509995,57.111679,27.064928,22.619024,106.57106,44.004356,28.49719,107.983757,44.489658,42.826321,68.777473,82.033028,114.846283,29.890989,34.347977,53.954559,52.443871,17.679182,30.220093,39.051601,24.480217
"16","2012-04-01",1397.910034,12.771423,56.24044,33.21666,14.42,16.76,300.470734,231.899994,55.628525,26.863577,22.844244,113.827927,46.702026,28.524958,112.91185,43.894989,45.357059,68.468201,81.53566,121.621185,28.834837,32.764465,53.251083,50.10743,17.874317,31.22538,38.882454,24.787762
"17","2012-05-01",1310.329956,10.593352,61.532936,34.839813,11,15.17,288.553253,212.910004,55.033165,24.489317,20.785051,107.917107,45.043823,25.509741,105.195778,43.652088,43.778591,62.35413,75.223053,103.029037,24.218344,29.332058,51.067059,49.768326,17.070366,29.904423,36.66946,25.123972
"18","2012-06-01",1362.160034,10.85076,71.321449,33.287655,11.24,14.49,288.160797,228.350006,55.630413,25.83226,21.591982,114.660912,48.393242,26.506838,113.81823,44.552273,41.007511,68.325058,81.451103,107.713844,27.252089,30.612404,55.801338,52.204536,18.130278,33.222717,39.396946,26.213671
